,index,Unnamed: 0,client_msg_id,type,text,ts,team,blocks,bot_id,bot_profile,files,upload,display_as_bot,thread_ts,reply_count,reply_users_count,latest_reply,reply_users,subscribed,reactions,subtype,inviter,edited,attachments,Channel_id,Channel_name,bot_link,purpose,user_hash,datetime,date,time,h,m,s,translations
10,42,42,830d7b15-3e81-484e-90f9-711d75924072,message,Vengo avanzando ahi,1603805117.0059,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'tUZ', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Vengo avanzando ahi'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-27 10:25:17.005900,2020-10-27,10:25:17.005900,10,25,17,I've been moving forward there
11,43,43,3fc88c0e-61f1-4c2a-a66e-07438aa429eb,message,Pero ya tengo en vista algo para eso,1603805110.0057,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'uWZ', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Pero ya tengo en vista algo para eso'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-27 10:25:10.005700,2020-10-27,10:25:10.005700,10,25,10,But I already have something for that in sight
12,44,44,f0ef6752-c484-4f2e-8e20-156d9a8cbb73,message,Nunca me mando las cosas,1603805097.0054,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': '0AH', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Nunca me mando las cosas'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-27 10:24:57.005400,2020-10-27,10:24:57.005400,10,24,57,I never command things
13,45,45,d2ed1d95-b5a2-40e8-ae34-33f6d618befb,message,No,1603805091.0052,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'g/y', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'No'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-27 10:24:51.005200,2020-10-27,10:24:51.005200,10,24,51,No
14,46,46,F635269B-8E05-42D1-8900-649F30E2E91A,message,Necesitas que este unificado para poder elegir a quien le tiras la encuesta,1603804977.005,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'i+Y', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Necesitas que este unificado para poder elegir a quien le tiras la encuesta'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,6d8a0758084d99aa5f56a3cf6908c62f,2020-10-27 10:22:57.005000,2020-10-27,10:22:57.005000,10,22,57,You need to be unified in order to choose who you take the survey to
15,47,47,22E88174-53C5-4EA9-B8F8-E8A2B3C57429,message,Demasiadas cosas,1603804962.0044,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'Uuw9Q', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Demasiadas cosas'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,6d8a0758084d99aa5f56a3cf6908c62f,2020-10-27 10:22:42.004400,2020-10-27,10:22:42.004400,10,22,42,Too many things
16,48,48,C211E935-DD85-407D-84C0-216AA416A477,message,:printer:,1603804956.0042,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': '==BC2', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'emoji', 'name': 'printer'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,6d8a0758084d99aa5f56a3cf6908c62f,2020-10-27 10:22:36.004200,2020-10-27,10:22:36.004200,10,22,36,: printer:
17,49,49,087130CC-7B49-4D6B-8372-86CAF684245A,message,Pero eso no lo habiamos visto ya ?,1603804952.004,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'D3Ei', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Pero eso no lo habiamos visto ya ?'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,6d8a0758084d99aa5f56a3cf6908c62f,2020-10-27 10:22:32.004000,2020-10-27,10:22:32.004000,10,22,32,But haven't we seen that already?
18,50,50,3286638e-bf3d-405f-9d13-8a5518b05b0e,message,Ya se lo dije,1603804868.0036,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'vkgx', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Ya se lo dije'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,9de0eab41d06af99a9db556b51b6585d,2020-10-27 10:21:08.003600,2020-10-27,10:21:08.003600,10,21,8,I already told you
19,51,51,74f85f05-b72b-49a1-8429-8b9011fbf26f,message,Ahora le escribo de nuevo,1603804801.0033,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'jz3', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Ahora le escribo de nuevo'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,9de0eab41d06af99a9db556b51b6585d,2020-10-27 10:20:01.003300,2020-10-27,10:20:01.003300,10,20,1,Now I write to you again
20,52,52,dc03195c-401d-4c05-b803-657ca14f0c9d,message,No,1603804791.0031,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'sIFB', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'No'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-27 10:19:51.003100,2020-10-27,10:19:51.003100,10,19,51,No
21,53,53,23984b71-a6f6-4d37-91d3-6199a666f5be,message,Te paso Esteban la info?,1603804781.0029,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'p5i', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Te paso Esteban la info?'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,9de0eab41d06af99a9db556b51b6585d,2020-10-27 10:19:41.002900,2020-10-27,10:19:41.002900,10,19,41,Did Esteban give you the info?
22,54,54,4c984062-af14-4c26-b047-a2ca0e602fd9,message,Para que no sean sistemas distintos,1603804755.0026,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': '26LU', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Para que no sean sistemas distintos'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-27 10:19:15.002600,2020-10-27,10:19:15.002600,10,19,15,So that they are not different systems
23,55,55,e2838bf7-4851-4f2e-bb20-72b0a7b26976,message,Y trabajar con permisos,1603804748.0023,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'LOtoC', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Y trabajar con permisos'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-27 10:19:08.002300,2020-10-27,10:19:08.002300,10,19,8,And work with permits
24,56,56,5ac712e2-b8e3-4a1e-96b9-bcb26623e9d0,message,Unificar el CRUD de usuarios con el dashboard,1603804734.002,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'NJcQ', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Unificar el CRUD de usuarios con el dashboard'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-27 10:18:54.002000,2020-10-27,10:18:54.002000,10,18,54,Unify the CRUD of users with the dashboard
25,57,57,eedc1e93-e36b-480f-8750-7e1d05e953f3,message,En la daily,1603804712.0016,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'qC4', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'En la daily'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-27 10:18:32.001600,2020-10-27,10:18:32.001600,10,18,32,In the daily
26,58,58,724a33f2-5671-40ff-9bf6-28316de9385a,message,Por otro lado les quiero comentar algo que se me ocurrió,1603804708.0014,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'ETA8P', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Por otro lado les quiero comentar algo que se me ocurrió'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-27 10:18:28.001400,2020-10-27,10:18:28.001400,10,18,28,"On the other hand, I want to comment on something that occurred to me"
27,59,59,a50a4c54-6f38-46c0-bb1b-fb6335a19541,message,Ya sale,1603804688.001,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'AfJ+C', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Ya sale'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-27 10:18:08.001000,2020-10-27,10:18:08.001000,10,18,8,Already comes out
28,60,60,33c640b9-9440-47e0-9e57-eac3d8b80131,message,Qué bien.,1603804676.0008,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'QULw0', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Qué bien.'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,9de0eab41d06af99a9db556b51b6585d,2020-10-27 10:17:56.000800,2020-10-27,10:17:56.000800,10,17,56,How good.
29,61,61,d0ebe84d-ba75-48eb-be96-52137f6ab042,message,:tada:,1603804668.0006,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'z+mkF', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'emoji', 'name': 'tada'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,9de0eab41d06af99a9db556b51b6585d,2020-10-27 10:17:48.000600,2020-10-27,10:17:48.000600,10,17,48,: tada:
30,65,65,610b83b9-2be8-4766-947a-c8b70c86cf69,message,Éxitos Iván!,1603730851.0029,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'gS+X', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Éxitos Iván!'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-26 13:47:31.002900,2020-10-26,13:47:31.002900,13,47,31,Successes Ivan!
31,66,66,f0f7ebac-4aab-4ce7-bec1-e3b991aadc14,message,"En 12 min tenemos la daily, les cuento",1603718383.0024,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'HOcSI', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'En 12 min tenemos la daily, les cuento'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,9de0eab41d06af99a9db556b51b6585d,2020-10-26 10:19:43.002400,2020-10-26,10:19:43.002400,10,19,43,"In 12 min we have the daily, I'll tell you"
32,67,67,a37250e2-3089-49c0-8896-5f8da7708580,message,Hola chicos. No hace falta,1603718364.0017,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'QFE', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Hola chicos. No hace falta'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,9de0eab41d06af99a9db556b51b6585d,2020-10-26 10:19:24.001700,2020-10-26,10:19:24.001700,10,19,24,Hello guys. Needless
33,68,68,f6dc92c8-597f-4b1b-9cb6-17114a258281,message,Como estas jose?,1603718340.0013,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'c1rs', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Como estas jose?'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-26 10:19:00.001300,2020-10-26,10:19:00.001300,10,19,0,How are you Joseph?
34,69,69,39d6acdf-7446-48e1-a819-c5c4827ed6fd,message,<@U01B5AQPV39> necesitas que estemos en la reunion?,1603718334.0011,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'fqxx', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'user', 'user_id': 'U01B5AQPV39'}, {'type': 'text', 'text': ' necesitas que estemos en la reunion?'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-26 10:18:54.001100,2020-10-26,10:18:54.001100,10,18,54,<@ U01B5AQPV39> do you need us to be at the meeting?
35,70,70,8206204B-7C0E-4CD8-8E1E-30965F2493D1,message,Buen dia chicos,1603718324.0008,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'dz0', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Buen dia chicos'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,6d8a0758084d99aa5f56a3cf6908c62f,2020-10-26 10:18:44.000800,2020-10-26,10:18:44.000800,10,18,44,Good morning guys
36,71,71,a03b5436-fa73-4ea3-9a6e-374980fec65b,message,Buenas!,1603718308.0002,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'iZOW', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Buenas!'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-26 10:18:28.000200,2020-10-26,10:18:28.000200,10,18,28,Good!
37,72,72,6d77a79b-7bdc-4c5f-9085-4a40e827054b,message,igualemnte !,1603486905.0023,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'ZyklO', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'igualemnte !'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,dc71163e5963271a52952b547d9b3757,2020-10-23 18:01:45.002300,2020-10-23,18:01:45.002300,18,1,45,even!
38,73,73,70710931-8478-449c-8844-060a938c4162,message,Buen finde!,1603486872.0021,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'RM+ko', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Buen finde!'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-23 18:01:12.002100,2020-10-23,18:01:12.002100,18,1,12,Have a good weekend!
39,74,74,ff60d574-2a31-4072-a0ac-67ff991f7cb2,message,felicitaciones <@U01BYMTTXCH>,1603486759.0019,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': '9vBR', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'felicitaciones '}, {'type': 'user', 'user_id': 'U01BYMTTXCH'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,dc71163e5963271a52952b547d9b3757,2020-10-23 17:59:19.001900,2020-10-23,17:59:19.001900,17,59,19,congratulations <@ U01BYMTTXCH>
40,75,75,9fa78508-7945-4c42-8b5a-29a69c9d7c35,message,Gracias Vero!,1603486750.0017,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'cei4K', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Gracias Vero!'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-23 17:59:10.001700,2020-10-23,17:59:10.001700,17,59,10,Thanks Vero!
41,76,76,bf06eeac-5e24-4549-a502-920e0d43b24c,message,esta muy linda !,1603486729.0015,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'Q8lr/', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'esta muy linda !'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,dc71163e5963271a52952b547d9b3757,2020-10-23 17:58:49.001500,2020-10-23,17:58:49.001500,17,58,49,is very cute !
42,77,77,71d2175a-b487-4753-bf0b-c3a32a909a6c,message,Jajajaja,1603486714.0013,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'SIrY8', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Jajajaja'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-23 17:58:34.001300,2020-10-23,17:58:34.001300,17,58,34,LOL
43,78,78,da00e174-bd90-46e2-9a31-b30f842ec7c3,message,Tenemos que definir una imagen de fondo sino me hace mal a la vista y me estreso,1603486712.001,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'cq8F', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Tenemos que definir una imagen de fondo sino me hace mal a la vista y me estreso'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-23 17:58:32.001000,2020-10-23,17:58:32.001000,17,58,32,We have to define a background image otherwise it makes me look bad and I get stressed
44,80,80,D32B777C-3DD4-41BA-99C8-92253354AB6E,message,:+1:,1603391335.0026,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'ZrR', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'emoji', 'name': '+1'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,6d8a0758084d99aa5f56a3cf6908c62f,2020-10-22 15:28:55.002600,2020-10-22,15:28:55.002600,15,28,55,: +1:
45,81,81,7fcc5b07-63a1-4387-9293-62da3712a6ba,message,Si lo tiene que me lo mande al mail,1603391313.0024,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': '/6V', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Si lo tiene que me lo mande al mail'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-22 15:28:33.002400,2020-10-22,15:28:33.002400,15,28,33,"If you have it, send it to me by mail"
46,82,82,95083d7e-e2cc-4ba9-9ff6-8dfd7ca7431f,message,Gracias,1603391303.0021,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'PslK', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Gracias'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-22 15:28:23.002100,2020-10-22,15:28:23.002100,15,28,23,Thank you
47,83,83,a1753f2a-6254-4279-99e6-3418f966b9bf,message,Dale,1603391298.0018,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'XeKz', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Dale'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-22 15:28:18.001800,2020-10-22,15:28:18.001800,15,28,18,Go ahead
48,84,84,40a3b649-1535-4144-908b-957fc48d7ef7,message,"Estoy con él en una reunión, le pregunto",1603391289.0016,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'gc2', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Estoy con él en una reunión, le pregunto'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,9de0eab41d06af99a9db556b51b6585d,2020-10-22 15:28:09.001600,2020-10-22,15:28:09.001600,15,28,9,"I'm with him in a meeting, I ask him"
49,85,85,82e01e52-5f86-485f-8d5f-493530d7c593,message,Esteban Te paso las mejoras sobre el Crud ??,1603391248.0009,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'zBGq', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Esteban Te paso las mejoras sobre el Crud ??'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-22 15:27:28.000900,2020-10-22,15:27:28.000900,15,27,28,Esteban will I pass you the improvements on the Crud?
50,86,86,310da28b-8520-4d30-b9dc-2c635c83ddcd,message,<@U01BDB84630>,1603391228.0004,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'g0h5', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'user', 'user_id': 'U01BDB84630'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-22 15:27:08.000400,2020-10-22,15:27:08.000400,15,27,8,<@ U01BDB84630>
51,87,87,d066bd5f-d90c-437e-8372-c5494c191ba9,message,jaja,1603300865.0033,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'W3/Yb', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'jaja'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,dc71163e5963271a52952b547d9b3757,2020-10-21 14:21:05.003300,2020-10-21,14:21:05.003300,14,21,5,haha
